symbol_scope,target,horizon,market_period,threshold,transaction_cost_bps,method,regime_method,score_IC,signal_IC,accuracy,balanced_accuracy,Sharpe,drawdown,turnover,total_return,n_trades,n_test_rows
BTCUSDT+ETHUSDT,tb_label_8h,8h,all,0.05,20,regime_lgbm_contrastive,contrastive,-0.011001971921415634,-0.0031082306189942894,0.5622685185185186,0.37075396463147103,-1.3362463728666976,-0.9639223884661021,0.07372685185185185,-0.9319316292032995,3520,25920
BTCUSDT+ETHUSDT,tb_label_8h,8h,bull,0.05,20,regime_lgbm_contrastive,contrastive,0.0009352034789543056,0.016273921336066668,0.5655834564254062,0.36471105317813274,-0.8802881990535174,-0.6035710351810222,0.07599704579025111,-0.5451598090164047,946,6770
BTCUSDT+ETHUSDT,tb_label_8h,8h,sideways,0.05,20,regime_lgbm_contrastive,contrastive,-0.015033916102144477,-0.01486076222311744,0.5479704797047971,0.3765850020919934,-1.9221320411026972,-0.9473524598214239,0.08699663083587357,-0.933175938290698,1984,12466
BTCUSDT+ETHUSDT,tb_label_8h,8h,bear,0.05,20,regime_lgbm_contrastive,contrastive,-0.016365295966038185,0.0008435388558221152,0.5855774985038898,0.3636336811043574,-0.7935154922714304,-0.7956621306983851,0.0466786355475763,-0.6165861454267009,590,6684
BTCUSDT+ETHUSDT,tb_label_8h,8h,all,0.05,20,regime_lgbm_contrastive_hmm,contrastive_hmm,-0.0026100348883464418,6.633905181454335e-05,0.5623070987654321,0.3729774827975252,-1.0830462370734624,-0.8943639875389562,0.07650462962962963,-0.8831376136380763,3642,25920
BTCUSDT+ETHUSDT,tb_label_8h,8h,bull,0.05,20,regime_lgbm_contrastive_hmm,contrastive_hmm,-0.009975296184873835,-0.008999688653989474,0.5617429837518464,0.3586968244653721,-1.353488550873092,-0.7047803898325269,0.07341211225997046,-0.6492517470075714,928,6770
BTCUSDT+ETHUSDT,tb_label_8h,8h,sideways,0.05,20,regime_lgbm_contrastive_hmm,contrastive_hmm,-0.0036937383874110262,0.002274970941404802,0.5500561527354404,0.38397566566768293,-1.201355766215375,-0.8309924156067086,0.09144874057436227,-0.8288573461318125,2063,12466
BTCUSDT+ETHUSDT,tb_label_8h,8h,bear,0.05,20,regime_lgbm_contrastive_hmm,contrastive_hmm,0.002951166954844619,0.004754798969098444,0.5857271095152603,0.36371794129984103,-0.4813400785320538,-0.6334625285543228,0.051765409934171155,-0.46962324695908697,651,6684
BTCUSDT+ETHUSDT,tb_label_8h,8h,all,0.05,20,regime_lgbm_hmm,hmm,0.0051131260203158314,0.0049423582822436295,0.5623070987654321,0.3697774983564239,-0.8950156768546372,-0.8580834098443471,0.07889660493827161,-0.8333520190397307,3737,25920
BTCUSDT+ETHUSDT,tb_label_8h,8h,bull,0.05,20,regime_lgbm_hmm,hmm,-1.7688133775334205e-05,-0.004117162596263626,0.5657311669128509,0.35954117886295417,-1.1011472468787502,-0.6363282792061206,0.0725258493353028,-0.5699829828366556,914,6770
BTCUSDT+ETHUSDT,tb_label_8h,8h,sideways,0.05,20,regime_lgbm_hmm,hmm,-0.012999403838607633,-0.005272455555985322,0.5494946253810364,0.37738171656244446,-1.4720811004982663,-0.8938794827313301,0.09574041392587838,-0.8852890408270387,2143,12466
BTCUSDT+ETHUSDT,tb_label_8h,8h,bear,0.05,20,regime_lgbm_hmm,hmm,0.03135967510048076,0.032010549582739044,0.5827348892878516,0.36357520289529227,0.3145944443391236,-0.47634224238049466,0.05393476959904249,0.21834979627185103,680,6684
