method,regime_method,regime,feature,feature_family,mean_gain_share,std_gain_share,mean_split_share,mean_shap_share,folds_seen,mean_train_rows,rank_within_model_regime
regime_lgbm_hmm,hmm,2,gk_vol,volatility,0.02969407596328151,0.007923705810703553,0.029442864992552647,0.037287171689259976,18,4905.611111111111,14
regime_lgbm_hmm,hmm,2,kurtosis,distribution_shape,0.07113455649431837,0.011621282564819146,0.06523787769238013,0.0674009792660086,18,4905.611111111111,3
regime_lgbm_hmm,hmm,2,log_vol_trend,liquidity_volume,0.024410996091712007,0.006299639041522153,0.03436387163851503,0.027358108449973197,18,4905.611111111111,19
regime_lgbm_hmm,hmm,2,macd_signal,momentum,0.04878781480534833,0.010670987099404497,0.050696556026622736,0.042638448289335856,18,4905.611111111111,8
regime_lgbm_hmm,hmm,2,ofi_proxy,microstructure,0.01482184997525047,0.004256673351520442,0.022935438726714136,0.017312779876015223,18,4905.611111111111,21
regime_lgbm_hmm,hmm,2,ret_15h,momentum,0.03122185578167849,0.00811994041248464,0.03277790219338591,0.030497524440033515,18,4905.611111111111,16
regime_lgbm_hmm,hmm,2,ret_1h,momentum,0.011998535289495686,0.0033657865199413655,0.01817216137346838,0.013973746927935836,18,4905.611111111111,22
regime_lgbm_hmm,hmm,2,ret_5h,momentum,0.027375267236615836,0.007449809080074037,0.03431423520744693,0.02552758200579307,18,4905.611111111111,20
regime_lgbm_hmm,hmm,2,ret_60h,momentum,0.0673388146693397,0.01354591989631512,0.06316305392155402,0.06062737033259427,18,4905.611111111111,5
regime_lgbm_hmm,hmm,2,ret_autocorr,momentum,0.06685306262321339,0.01205849271906895,0.0681216934825076,0.058381937135551606,18,4905.611111111111,6
regime_lgbm_hmm,hmm,2,ret_dispersion,momentum,0.04704766005964825,0.008715666747389496,0.05024398280587112,0.03916049892093596,18,4905.611111111111,11
regime_lgbm_hmm,hmm,2,rsi_14,technical_state,0.03869888263002228,0.010198871468849026,0.038789039368692636,0.03351519744079882,18,4905.611111111111,15
regime_lgbm_hmm,hmm,2,skewness,distribution_shape,0.06222216862335464,0.012860090197940524,0.06255816150431719,0.048205688535820274,18,4905.611111111111,7
regime_lgbm_hmm,hmm,2,spread_proxy,microstructure,0.023138743104114578,0.007751003835658348,0.02582442484969876,0.028930606503024044,18,4905.611111111111,18
regime_lgbm_hmm,hmm,2,vol_20h,volatility,0.11631020664590114,0.021485202592415632,0.07800697985233686,0.13757063355793442,18,4905.611111111111,1
regime_lgbm_hmm,hmm,2,vol_5h,volatility,0.03862667439500034,0.005321511149238704,0.045069662828996715,0.03736025959378163,18,4905.611111111111,13
regime_lgbm_hmm,hmm,2,vol_of_vol,volatility,0.08224383709417452,0.015029385211779163,0.07482596710882489,0.08405027980930502,18,4905.611111111111,2
regime_lgbm_hmm,hmm,2,volume_zscore,liquidity_volume,0.034967612348811995,0.005510766905098568,0.036970383710859124,0.04009376956310007,18,4905.611111111111,10
regime_lgbm_hmm,hmm,3,amihud,liquidity_volume,0.027192303212059232,0.010063495489623474,0.033702933074076125,0.03872198799273669,18,4554.388888888889,11
regime_lgbm_hmm,hmm,3,atr_14,volatility,0.07439792923509876,0.020051952032992024,0.06956943603818168,0.056555255236276344,18,4554.388888888889,6
regime_lgbm_hmm,hmm,3,bband_pct_b,technical_state,0.0255712818381598,0.0050466770643903215,0.027794711770082765,0.027191373767632046,18,4554.388888888889,18
regime_lgbm_hmm,hmm,3,close_vs_vwap,momentum,0.030743115355029566,0.00536166836393431,0.03439793933373332,0.03880485381895572,18,4554.388888888889,10
regime_lgbm_hmm,hmm,3,gk_vol,volatility,0.031223402397820302,0.006102153318554113,0.031607968522925085,0.03783826780244464,18,4554.388888888889,13
regime_lgbm_hmm,hmm,3,kurtosis,distribution_shape,0.07010206225705613,0.006216384121949897,0.06531398278543674,0.06327202545085464,18,4554.388888888889,3
regime_lgbm_hmm,hmm,3,log_vol_trend,liquidity_volume,0.02581131233899404,0.006384919279514816,0.034032260915526434,0.0289471259242604,18,4554.388888888889,17
