method,regime_method,target,horizon,symbol,IC,signal_IC,accuracy,balanced_accuracy,Sharpe,drawdown,turnover,total_return,n_trades,n_test_rows
regime_lgbm_vol_bucket,vol_bucket,tb_label_8h,8h,ADAUSDT,0.04629216569651128,0.02174037256738214,0.5732638888888889,0.3515191628417514,0.5387963315971063,-0.5836637985540978,0.03394097222222222,1.8137908917682042,771,11520
regime_lgbm_vol_bucket,vol_bucket,tb_label_8h,8h,APTUSDT,0.0005522303343917661,-0.001008864316291509,0.5522569444444444,0.34740211057570414,-0.25728354976516477,-0.8049048012601686,0.04097222222222222,-0.6478149593979663,929,11520
regime_lgbm_vol_bucket,vol_bucket,tb_label_8h,8h,AVAXUSDT,0.01585894444956251,0.010117393574610457,0.5615451388888889,0.3558717789000542,0.2502753743544981,-0.6583232252890487,0.04869791666666667,0.3799749047224015,1095,11520
regime_lgbm_vol_bucket,vol_bucket,tb_label_8h,8h,BCHUSDT,0.01699893640050765,0.023327712631131464,0.5763888888888888,0.3551677729708762,0.29686092563969296,-0.7330494041896213,0.04088541666666667,0.49444347282294654,918,11520
regime_lgbm_vol_bucket,vol_bucket,tb_label_8h,8h,BNBUSDT,0.008518347415615043,0.012444655956807394,0.5584201388888889,0.36429094977070603,-0.05015577815369799,-0.7362052169534575,0.050347222222222224,-0.16200326800714382,1120,11520
regime_lgbm_vol_bucket,vol_bucket,tb_label_8h,8h,BTCUSDT,0.022852488037068207,0.00531716575703569,0.5722222222222222,0.36733344593676837,-0.4623682952985459,-0.8437181007020819,0.05542534722222222,-0.5705868639575533,1234,11520
regime_lgbm_vol_bucket,vol_bucket,tb_label_8h,8h,DOGEUSDT,0.024062152304289285,0.006730747720550723,0.5630208333333333,0.3531923690387941,0.06889271085183153,-0.7195274317738746,0.04592013888888889,-0.14834337291761301,1031,11520
regime_lgbm_vol_bucket,vol_bucket,tb_label_8h,8h,DOTUSDT,-0.03151961117165048,0.005241201468657918,0.5796006944444444,0.35539726776372094,-0.1519286264970018,-0.7095316372519749,0.03619791666666667,-0.43643688543646497,818,11520
regime_lgbm_vol_bucket,vol_bucket,tb_label_8h,8h,ETCUSDT,-0.0011602630514043802,0.008143782031236639,0.5668402777777778,0.3505063602449798,0.1278907341055341,-0.7121174266923669,0.03802083333333333,0.06948945046844313,851,11520
regime_lgbm_vol_bucket,vol_bucket,tb_label_8h,8h,ETHUSDT,0.0843853769203032,0.02993666211000678,0.5835069444444444,0.3600127903881594,0.530140190694984,-0.40109669749206894,0.037934027777777775,1.2414815858923216,851,11520
regime_lgbm_vol_bucket,vol_bucket,tb_label_8h,8h,ICPUSDT,0.024896850146163045,0.0015269904902396152,0.5657118055555556,0.3532544318002895,-0.12120615177636208,-0.8793157778502957,0.03576388888888889,-0.43075305104820427,805,11520
regime_lgbm_vol_bucket,vol_bucket,tb_label_8h,8h,LINKUSDT,0.015399308981379907,0.007194185659824115,0.5712673611111111,0.3544602107296894,0.145200349870305,-0.7926665270801748,0.04609375,0.07243297853466113,1032,11520
regime_lgbm_vol_bucket,vol_bucket,tb_label_8h,8h,LTCUSDT,0.009626110647525303,0.011065193274313379,0.5745659722222223,0.3471179099604625,0.15804561502314252,-0.571200906448795,0.03407118055555555,0.14347516392980975,768,11520
regime_lgbm_vol_bucket,vol_bucket,tb_label_8h,8h,NEARUSDT,0.018069868647716557,0.003592152223041843,0.5517361111111111,0.34993876610294733,-0.2950750973902673,-0.8833008330339306,0.04331597222222222,-0.691451351671306,976,11520
regime_lgbm_vol_bucket,vol_bucket,tb_label_8h,8h,SHIBUSDT,0.022549148084371497,0.016666158704451355,0.5680555555555555,0.3582477032587587,0.2041874177982654,-0.702672906401573,0.04782986111111111,0.23951962890814538,1074,11520
