comparison,metric,direction,mean_difference,cohen_dz,effect_size,primary_p_value,bh_q_by_metric,holm_p_by_metric,bh_q_all_tests,holm_p_all_tests,claim_status,p_value_source,n_paired_folds,n_paired_rows
regime_lgbm_hmm_guided_hmm vs regime_lgbm_contrastive_hmm,nll_loss,method_better,-0.0001219611370254447,,row_loss,0.9401085193989582,0.9592605207026217,1.0,0.9716557851506011,1.0,not_significant,dm_newey_west,,230400.0
regime_lgbm_kmeans vs regime_lgbm_hmm,nll_loss,method_better,-4.975996994232322e-05,,row_loss,0.9592605207026217,0.9592605207026217,1.0,0.9848408012546915,1.0,not_significant,dm_newey_west,,230400.0
regime_lgbm_hmm_guided_hmm vs regime_lgbm_hmm,nll_loss,reference_better,0.0026042752938232085,,row_loss,0.0388719733492531,0.06578333951412065,0.388719733492531,0.14965709739462446,1.0,raw_only_suggestive,dm_newey_west,,230400.0
regime_lgbm_contrastive_hmm vs regime_lgbm_hmm,nll_loss,reference_better,0.0027262364308486536,,row_loss,0.046702119360832024,0.06762162791352913,0.4203190742474882,0.1634574177629121,1.0,raw_only_suggestive,dm_newey_west,,230400.0
regime_lgbm_contrastive_hmm vs regime_lgbm_kmeans,nll_loss,reference_better,0.0027759964007909766,,row_loss,0.04829433634335777,0.06762162791352913,0.4203190742474882,0.1646439636155492,1.0,raw_only_suggestive,dm_newey_west,,230400.0
regime_lgbm_hmm_guided_hmm vs regime_lgbm_kmeans,nll_loss,reference_better,0.002654035263765532,,row_loss,0.04917936575529391,0.06762162791352913,0.4203190742474882,0.1646439636155492,1.0,raw_only_suggestive,dm_newey_west,,230400.0
regime_lgbm_hmm_guided_gmm vs regime_lgbm_hmm,nll_loss,reference_better,0.0038159036835467295,,row_loss,0.0014700033430344959,0.003234007354675891,0.019110043459448445,0.009432521451138015,0.19257043793751896,survives_bh_all_tests,dm_newey_west,,230400.0
regime_lgbm_contrastive vs regime_lgbm_contrastive_hmm,nll_loss,method_better,-0.004196632453152981,,row_loss,0.0035515898149293067,0.0071031796298586134,0.04261907777915168,0.02187779325996453,0.4617066759408099,survives_bh_all_tests,dm_newey_west,,230400.0
regime_lgbm_hmm_guided_gmm vs regime_lgbm_kmeans,nll_loss,reference_better,0.003865663653489054,,row_loss,0.004268751003085829,0.007826043505657352,0.04695626103394412,0.02347813051697206,0.5421313773919002,survives_bh_all_tests,dm_newey_west,,230400.0
regime_lgbm_vol_bucket vs global_lgbm,nll_loss,reference_better,0.010093867216241063,,row_loss,5.0751396133712853e-20,1.1165307149416829e-18,1.1165307149416829e-18,7.815715004591779e-18,7.815715004591779e-18,survives_holm_all_tests,dm_newey_west,,230400.0
regime_lgbm_hmm_guided_gmm vs global_lgbm,nll_loss,reference_better,0.009755091135737325,,row_loss,7.563205140837545e-14,8.319525654921299e-13,1.5882730795758844e-12,5.82366795844491e-12,1.1571703865481444e-11,survives_holm_all_tests,dm_newey_west,,230400.0
regime_lgbm_hmm vs global_lgbm,nll_loss,reference_better,0.005939187452190597,,row_loss,6.815944038801031e-13,3.936093414345166e-12,1.363188807760206e-11,2.755265390041616e-11,1.0360234938977566e-10,survives_holm_all_tests,dm_newey_west,,230400.0
regime_lgbm_contrastive_hmm vs global_lgbm,nll_loss,reference_better,0.00866542388303925,,row_loss,7.156533480627574e-13,3.936093414345166e-12,1.363188807760206e-11,2.755265390041616e-11,1.0806365555747638e-10,survives_holm_all_tests,dm_newey_west,,230400.0
regime_lgbm_kmeans vs global_lgbm,nll_loss,reference_better,0.0058894274822482735,,row_loss,5.4568896620039336e-12,2.4010314512817306e-11,9.82240139160708e-11,1.0504512599357572e-10,8.021627803145783e-10,survives_holm_all_tests,dm_newey_west,,230400.0
regime_lgbm_hmm_guided_hmm vs global_lgbm,nll_loss,reference_better,0.008543462746013804,,row_loss,9.172348382781325e-11,3.3631944070198194e-10,1.5592992250728251e-09,1.412541650948324e-09,1.3299905155032921e-08,survives_holm_all_tests,dm_newey_west,,230400.0
regime_lgbm_contrastive vs global_lgbm,nll_loss,reference_better,0.0044687914298862695,,row_loss,6.5349083222792035e-06,2.0538283298591785e-05,0.00010455853315646726,6.709172544206648e-05,0.0009148871651190885,survives_holm_all_tests,dm_newey_west,,230400.0
regime_lgbm_vol_bucket vs regime_lgbm_hmm,nll_loss,reference_better,0.004154679764050464,,row_loss,0.00016034258710236247,0.0004409421145314968,0.002405138806535437,0.0012996188638823064,0.021806591845921295,survives_holm_all_tests,dm_newey_west,,230400.0
regime_lgbm_vol_bucket vs regime_lgbm_kmeans,nll_loss,reference_better,0.004204439733992788,,row_loss,0.0003133686926155823,0.0007660123597269789,0.004387161696618153,0.002193580848309076,0.04167803611787245,survives_holm_all_tests,dm_newey_west,,230400.0
