method,symbol,n_rows,n_regimes,avg_regime_duration,transition_diagonal_probability,regime_entropy,dominant_regime_pct,avg_forward_return_8h,avg_vol_adj_return_8h,simple_feature_ic
vol_bucket,BTCUSDT,18623,4,11.138157894736842,0.9102674995662943,0.9999999968800183,0.25001342426032325,0.00010880300884837763,0.00348747724299234,0.025555240472480763
vol_bucket,DOGEUSDT,17436,4,10.329383886255924,0.9032421961241116,1.0,0.25,0.0001916773629180712,-0.006522108142278035,0.032311967065019036
vol_bucket,DOTUSDT,17436,4,10.160839160839162,0.9016315197066074,1.0,0.25,-0.0004922696258668304,-0.025587071517927676,0.032412364329240266
vol_bucket,ETCUSDT,17436,4,10.446974236069503,0.9043315139476584,1.0,0.25,-0.0002850439575434691,-0.028087074702528234,0.05896087725839841
vol_bucket,ETHUSDT,18623,4,9.905851063829788,0.899097857401235,0.9999999968800183,0.25001342426032325,-6.500730909253676e-05,-0.010651247495870242,0.028419124160437334
vol_bucket,ICPUSDT,17436,4,10.19053185271771,0.9019241127402162,1.0,0.25,-0.00011985941647969744,-0.01490852463597754,0.01609965191361689
vol_bucket,LINKUSDT,17436,4,10.244418331374852,0.9024388385410761,1.0,0.25,9.2396061577873e-05,0.0049145352709509356,0.029143659164472646
vol_bucket,LTCUSDT,17436,4,12.278873239436619,0.9186133782805084,1.0,0.25,2.453776959105648e-05,-0.00861147424636999,0.06455701572675149
vol_bucket,NEARUSDT,17436,4,10.143106457242583,0.9014652919097506,1.0,0.25,5.718874092693691e-05,0.00610209686600126,0.008134416856027121
vol_bucket,SHIBUSDT,17436,4,11.02149178255373,0.9093179530442467,1.0,0.25,-0.0003164860355703076,-0.028533360594802718,0.055595270581130216
vol_bucket,SOLUSDT,17436,4,10.166763848396501,0.9016935705388597,1.0,0.25,-4.2672735498725245e-05,-0.007551368763823894,0.020521822634604434
vol_bucket,TONUSDT,16128,4,10.889939230249832,0.9082269744549188,1.0,0.25,-0.0003869301552367612,-0.04407496149440593,0.0437336187720097
vol_bucket,TRXUSDT,17436,4,13.139412207987943,0.9239471046331534,1.0,0.25,0.0005825538274931248,0.07499141575651203,0.04137214660639149
vol_bucket,UNIUSDT,17436,4,10.101969872537659,0.9010624155305903,1.0,0.25,-0.00020164198095966275,-0.013616465623582522,0.05068522821617198
vol_bucket,XRPUSDT,17436,4,12.041436464088397,0.9170072290074994,1.0,0.25,0.000698589626924586,0.003966995271893735,0.030512834820351338
