benchmark,method,threshold,transaction_cost_bps,Sharpe,drawdown,turnover,total_return,n_trades,n_return_observations,rebalance_offset_utc,signal_IC,n_test_rows
phase39r_repaired_neural,global_lgbm,0.025,40.0,-2.6867957429198075,-0.20913950269341988,0.04918402777777778,-0.2015102968161081,2778,1440,0,0.006878063831060766,230400
phase39r_repaired_neural,regime_lgbm_contrastive,0.025,40.0,-4.822473814087009,-0.3196439731165606,0.06263888888888888,-0.3175563168064812,3470,1440,0,0.004103650933278804,230400
phase39r_repaired_neural,regime_lgbm_contrastive_hmm,0.025,40.0,-4.988052184796943,-0.32227490182397045,0.06717013888888888,-0.32183430353337306,3717,1440,0,-0.0015439876361880483,230400
phase39r_repaired_neural,regime_lgbm_hmm,0.025,40.0,-3.5112257035856502,-0.30032738320715313,0.07046875,-0.2839896338039203,3898,1440,0,0.005324208445539323,230400
phase39r_repaired_neural,regime_lgbm_hmm_guided_gmm,0.025,40.0,-4.5253344317495126,-0.3331347413369059,0.07432291666666667,-0.3296765362459091,4095,1440,0,0.0010955945773459845,230400
phase39r_repaired_neural,regime_lgbm_hmm_guided_hmm,0.025,40.0,-4.285827250354086,-0.32624295531621167,0.07515625,-0.3103393961889561,4144,1440,0,0.00018225676113717485,230400
phase39r_repaired_neural,regime_lgbm_kmeans,0.025,40.0,-3.796576313953708,-0.2738432817577235,0.06767361111111111,-0.27132241598794915,3758,1440,0,0.003790639526610315,230400
phase39r_repaired_neural,regime_lgbm_vol_bucket,0.025,40.0,-4.645429531299718,-0.3577150814656984,0.08125,-0.34967573466626045,4459,1440,0,0.003559981600306569,230400
phase41b_classical_candidates,global_lgbm,0.05,5.0,0.22341347544431583,-0.0326379666216746,0.03501736111111111,0.01379950291491383,1992,1440,0,0.00567822231660798,230400
phase41b_classical_candidates,regime_lgbm_hmm,0.05,5.0,-0.22368592121240222,-0.06352031586963507,0.049305555555555554,-0.020299018375248057,2765,1440,0,0.0029983162340869486,230400
phase41b_classical_candidates,regime_lgbm_kmeans,0.05,5.0,0.34566702225410395,-0.040371561421691654,0.04680555555555556,0.023829840912060085,2636,1440,0,0.0028389782281130213,230400
phase41b_classical_candidates,regime_lgbm_vol_bucket,0.05,5.0,0.2149305595808046,-0.04331103451546793,0.05314236111111111,0.014368485096815764,2988,1440,0,0.005161446312954075,230400
phase39r_repaired_neural,global_lgbm,0.05,5.0,0.2850876140653838,-0.0543909915418991,0.039461805555555556,0.019691970840076678,2245,1440,0,0.005806823922675498,230400
phase39r_repaired_neural,regime_lgbm_contrastive,0.05,5.0,-0.2767577442735081,-0.04967908753934233,0.05388888888888889,-0.022539205487765668,3032,1440,0,0.004023349250616495,230400
phase39r_repaired_neural,regime_lgbm_contrastive_hmm,0.05,5.0,-0.589745370836679,-0.09085407982420943,0.059618055555555556,-0.044992711251916284,3326,1440,0,-0.0013281958614115331,230400
phase39r_repaired_neural,regime_lgbm_hmm,0.05,5.0,0.23900812662372964,-0.06944540515830773,0.061649305555555554,0.018432453660407466,3454,1440,0,0.00464733697235591,230400
phase39r_repaired_neural,regime_lgbm_hmm_guided_gmm,0.05,5.0,-0.5128270152861546,-0.06165625724822642,0.0665625,-0.044853187507452374,3706,1440,0,0.0017550835484026303,230400
phase39r_repaired_neural,regime_lgbm_hmm_guided_hmm,0.05,5.0,-0.16202440589757017,-0.07525239295279978,0.06737847222222222,-0.015473076506957839,3748,1440,0,0.0002813590661404989,230400
phase39r_repaired_neural,regime_lgbm_kmeans,0.05,5.0,0.323894595750514,-0.03588511223569346,0.05880208333333333,0.02362599601011417,3293,1440,0,0.003994183873760386,230400
phase39r_repaired_neural,regime_lgbm_vol_bucket,0.05,5.0,0.32269679805884327,-0.050653179902516506,0.07112847222222222,0.024438917694319384,3952,1440,0,0.004713485736695823,230400
phase41b_classical_candidates,global_lgbm,0.05,10.0,-0.13922821622527723,-0.0385946910326764,0.03501736111111111,-0.011438516571787627,1992,1440,0,0.00567822231660798,230400
